"GAMEPLAY_Pve_Travel_Reverse"	"Reise"
"CarPart_Speakers_Small_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Speakers_Small_Name"	"Kleiner Lautsprecher"
"CarPart_Speakers_Small_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Kleiner Lautsprecher» benötigt wird."
"CarPart_Speakers_Small_Piece_name"	"Fragment: Kleiner Lautsprecher"
"CarPart_TaxiLight_desc"	"Der einfachste Weg um in den Ödlanden an schnelles Geld zu kommen."
"CarPart_TaxiLight_name"	"Taxischild"
"CarPart_TaxiLight_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Taxischild» benötigt wird."
"CarPart_TaxiLight_Piece_name"	"Fragment: Taxischild"
"CarPart_Torch_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Torch_Name"	"Fackel"
"CarPart_TrafficLight_Desc"	"Ein mächtiges Artefakt, das sämtliche Fahrer zu kontrollieren vermochte. Leider ist seine Macht seither verblasst."
"CarPart_TrafficLight_Name"	"Ampel"
"CarPart_TrafficLight_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Bauteils «Ampel» benötigt wird."
"CarPart_TrafficLight_Piece_name"	"Fragment: Ampel"
"CarPart_Wing_Desc"	"Beeinflusst zwar nicht die Fahrzeugswerte, sieht aber extrem cool aus!"
"CarPart_Wing_Name"	"Spoiler"
"PARTTYPE_60_20_RoadSign"	"Deko: Schilder"
"PARTTYPE_60_30_CarHorn"	"Deko: Hupen"
"PARTTYPE_60_40_CarLights"	"Deko: Lichter"
"PARTTYPE_60_Decorum"	"Erscheinung"
"pic_CrashTest01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Materials «Test-Dummy» benötigt wird."
"pic_CrashTest01_Piece_name"	"Fragment: Test-Dummy"
"pic_JailScratches01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Musters «Kalender» benötigt wird.|"
"pic_JailScratches01_Piece_name"	"Fragment: Kalender"
"pic_ScaleFish01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Materials «Alligator» benötigt wird."
"pic_ScaleFish01_Piece_name"	"Fragment: Alligator"
"pic_SchoolDesk01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Musters «Schultafel» benötigt wird."
"pic_SchoolDesk01_Piece_name"	"Fragment: Schultafel"
"pic_StressTest01_Piece_desc"	"Ein Fragment, das zum Zusammenbau des Musters «Graffiti (Morgenröte)» benötigt wird.|"
"pic_StressTest01_Piece_name"	"Fragment: Graffiti (Morgenröte)"
"Cabin_ArmoredPickup_Desc"	"Gepanzerter Pickup"
"Cabin_ArmoredPickup_Name"	"Bär"
"Cabin_Buggy_Small_desc"	"Schnell und tödlich - in den Händen eines fähigen Fahrers eine mächtige Waffe."
"Cabin_Buggy_Small_name"	"Duster"
"Cabin_Riviera_Desc"	"Dieser Klassiker hat zahlreiche Modifikationen überstanden. Eine perfekte Verbindung von Überlebensfähigkeit und unschlagbarem Stil."
"Cabin_Riviera_name"	"Hot Rod"
"CarPart_ChassisBase2_desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisBase2_name"	"Fahrgestell 2*4"
"CarPart_ChassisBase4_desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisBase4_name"	"Fahrgestell 4*4"
"CarPart_ChassisLight2_Desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisLight2_Name"	"Leichtbau-Fahrgestell 2*4"
"CarPart_ChassisLight4_Desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisLight4_Name"	"Leichtbau-Fahrgestell 4*4"
"CarPart_ChassisLight6_Desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisLight6_Name"	"Leichtbau-Fahrgestell 6*4"
"CarPart_ChassisLight8_Desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisLight8_Name"	"Leichtbau-Fahrgestell 8*4"
"CarPart_ChassisTruck6_desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisTruck6_name"	"Fahrgestell 6*4"
"CarPart_ChassisTruck8_desc"	"Ein Fahrgestell. Nur an diesem Bauteill können Reifen und weitere Fahrgestelle befestigt werden."
"CarPart_ChassisTruck8_name"	"Fahrgestell 8*4"
"CarPart_Gun_Proto_ShotgunCloseCombatBurst_Desc"	"Prototyp einer schlagkräftigen Schrotfilnte, die in Salven zu je vier Schuss feuert."
"CarPart_Gun_Proto_ShotgunCloseCombatBurst_Name"	"«Squall» Schrotfilnte"
"CarPart_hotrod_fender_left_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_fender_left_name"	"Linker 'Hot Rod' Kotflügel"
"CarPart_hotrod_fender_right_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_fender_right_name"	"Rechter 'Hot Rod' Kotflügel"
"CarPart_hotrod_grilles_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_grilles_name"	"'Hot Rod' Gitter"
"CarPart_hotrod_hood_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_hood_name"	"'Hot Rod' Haube"
"CarPart_hotrod_rear_fender_left_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_rear_fender_left_name"	"Linker 'Hot Rod' Heck-Kotflügel"
"CarPart_hotrod_rear_fender_right_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_rear_fender_right_name"	"Rechter 'Hot Rod' Heck-Kotflügel"
"CarPart_hotrod_trunk_Desc"	"Robuster Schutz für jedes stylische Fahrzeug."
"CarPart_hotrod_trunk_name"	"'Hot Rod' Kofferraum"
"CarPart_Radiator_grilles_desc"	"Ein robuster Schutz für den niveauvollen Panzerfahrer."
"CarPart_Radiator_grilles_name"	"'Pionier' Gitter"
"Chassis_Basic_desc"	"Leichte Fahrerkabine mit toller Geschwindigkeit, die sehr anfällig für Änderungen am Fahrzeuggewicht ist."
"Chassis_Basic_name"	"Growl"
"Chassis_ChevyPickup_Desc"	"«Test» Fahrerkabine"
"Chassis_ChevyPickup_Name"	"«Schwerer Pickup» Fahrerkabine"
"Chassis_FordPickup_Alpha_Desc"	"Eine Sonderausführung der Pickup Fahrerkabine. Die spezielle Schutzbeschichtung verringert die Wahrscheinlichkeit, dass dem Fahrer ein drittes Bein wächst, um 10%!"
"Chassis_FordPickup_Alpha_Name"	"Thug"
"Chassis_FordPickup_Desc"	"Leichte und schnelle Fahrerkabine, die zu wilden Maschinengewehrgefechten passt."
"Chassis_FordPickup_name"	"Hunstman"
"Chassis_Gazelle_desc"	"Fahrerkabine eines kleinen Transporters. Ziemlich langsam, dafür aber mit großartiger Tragfähigkeit."
"Chassis_Gazelle_name"	"Docker"
"Chassis_Kamaz_desc"	"Diese schwere und beständige Fahrerkabine verfügt über gewaltige Tragfähigkeit bei bemittleidenswerter Beschleunigung."
"Chassis_Kamaz_name"	"Trucker"
"Chassis_Maz_Desc"	"Eine große und beständige Fahrerkabine mit ausgezeichneter Tragfähigkeit bei schwacher Beschleunigungsleistung."
"Chassis_Maz_Name"	"Humpback"
"Chassis_Military_Desc"	"Fortgeschrittene Fahrerkabine mit niedrigem Profil und gepanzerter Außenhaut. Eindeutig militärischer Herkunft."
"Chassis_Military_Name"	"Jawbreaker"
"Chassis_Mustang_Desc"	"«Test» Fahrerkabine"
"Chassis_Mustang_Name"	"Mustang"
"Chassis_Panzer_desc"	"Ein Panzer ist ein Panzer - selbst dann, wenn die Welt in Trümmern liegt."
"Chassis_Panzer_name"	"Carapax"
"Chassis_Rage_Desc"	"Fahrerkabine eines militärischen Geländewagens."
"Chassis_Rage_Name"	"Fury"
"Chassis_Small_Desc"	"Diese durchgerostete Anfänger-Fahrerkabine lässt ganz schön zu wünschen übrig."
"Chassis_Small_name"	"Guerilla"
"Chassis_SportCustom_Desc"	"«Test» Fahrerkabine"
"Chassis_SportCustom_Name"	"Benutzerdefinierte Fahrerkabine"
"Chassis_VWT1_Desc"	"Die Fahrerkabine eines Minivans. Einigermaßen strapazierfähig und verlässlich."
"Chassis_VWT1_name"	"WWT1"
"Chassis_Wyvern_Desc"	"Diese Fahrerkabine wurde einst als Pilotenkanzel eines Flugzeugs genutzt."
"Chassis_Wyvern_Name"	"Wyvern"
"PARTINFO_ACCELERATION_TITLE"	"Beschleunigung"
"PARTINFO_CRIT_MASS_TITLE"	"Maximalgewicht"
"PARTINFO_POWER_GEN_TITLE"	"Liefert Energie"
"PARTINFO_PVE_AMMO_REFILL"	"Die Munitionsreserven in Raids werden, sofern aufgebraucht, alle $time$ automatisch aufgefüllt."
"PARTINFO_TONNAGE_TITLE"	"Tragfähigkeit"
"PARTTYPE_10_20_Cabin"	"Fahrerkabine"
"PARTTYPE_10_20_Chassis"	"Fahrgestelle"
"Alpha_Bundle_Desc"	"- Exklusives Fahrzeug 'Snappy'|- Material: 'Crash Tester'|- Profilbild: 'Crash Tester'"
"Alpha_Bundle_Name"	"Alphatest-Belohnung"
"BT_Bundle_Desc"	"- Exklusives Fahrzeug 'Snappy'|- Muster: 'Häuptling'|- Profilbild: 'Die Hard'"
"BT_Bundle_Name"	"Battle-Test-Belohnung"
"Bundle_Advertising_to_shop"	"Kaufen"
"BUNDLE_ADVERTISING_WND_TITLE"	"Überlebender! Verpasse nicht $name$!"
"Bundle_cbt_1_founders_Desc"	"- Die 'Lavabird', ein exklusives, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Exklusives Profilbild: 'Air Shaman';|- Farben: Lava, Aluminium, Blitz;|- 1500 Coins."
"Bundle_cbt_1_founders_Name"	"Gründer-Paket «Lavabird»"
"Bundle_cbt_3_founders_Desc"	"- Die 'Armored Turtle', ein exklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Exklusive Fahrerkabine: 'Bär';|- Exklusives Profilbild: 'Survivor';|- Farben: Schildkröte, Illusion Metallic, Wüste Digital;|- 4000 Coins."
"Bundle_cbt_3_founders_Name"	"Gründer-Paket «Armored Turtle»"
"Bundle_cbt_large_Desc"	"- Die 'Tramp', ein esklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Exklusive Kabine: 'Bär';|- Exklusive Profilbild: 'Survivor';|- Farben: Muster: Wüste Digital, Illusion Metallic;|- 3500 Coins.|- Diese Version des Pakets wird mit Ende des geschlossenen Betatests nicht länger Verfügbar sein."
"Bundle_cbt_large_Desc_PS4"	"- Die 'Tramp', ein esklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Exklusive Kabine: 'Bär';|- Exklusive Profilbild: 'Survivor';|- Farben: Muster: Wüste Digital, Illusion Metallic;|- 2650 Coins."
"Bundle_cbt_large_Desc_XBONE"	"- Die 'Tramp', ein esklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Exklusive Kabine: 'Bär';|- Exklusive Profilbild: 'Survivor';|- Farben: Muster: Wüste Digital, Illusion Metallic;|- 2650 Coins."
"Bundle_cbt_large_Name"	"CBT «The Tramp» Paket"
"Bundle_cbt_large_Name_PS4"	"«The Tramp» Paket"
"Bundle_cbt_large_Name_XBONE"	"«The Tramp» Paket"
"Bundle_cbt_large_womoney_Desc"	"- Die 'Tramp', ein schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Einzigartige Kabine: 'Bär';|- Einzigartiges Profilbild: 'Survivor';|- Farben: Muster: Wüste Digital, Illusion Metallic."
"Bundle_cbt_medium_Desc"	"- Die 'Fenrir', ein exklusives, schweres Fahrzeug;|- Bewaffnung: 25mm 'AC72 Whirlwind' Autokanone;|- Exklusive Fahrerkabine: 'Fury';|- Exklusives Profilbild: 'Wotan';|- Farben: Muster: Flamme, Material: Carbon;|- 2000 Coins.|- Diese Version des Pakets wird mit Ende des geschlossenen Betatests nicht länger Verfügbar sein."
"Bundle_cbt_medium_Desc_PS4"	"- Die 'Fenrir', ein exklusives, schweres Fahrzeug;|- Bewaffnung: 25mm 'AC72 Whirlwind' Autokanone;|- Exklusive Fahrerkabine: 'Fury';|- Exklusives Profilbild: 'Wotan';|- Farben: Muster: Flamme, Material: Carbon;|- 1500 Coins."
"Bundle_cbt_medium_Desc_XBONE"	"- Die 'Fenrir', ein exklusives, schweres Fahrzeug;|- Bewaffnung: 25mm 'AC72 Whirlwind' Autokanone;|- Exklusive Fahrerkabine: 'Fury';|- Exklusives Profilbild: 'Wotan';|- Farben: Muster: Flamme, Material: Carbon;|- 1500 Coins."
"Bundle_cbt_medium_Name"	"CBT «Midgar» Paket"
"Bundle_cbt_medium_Name_PS4"	"«Midgar» Paket"
"Bundle_cbt_medium_Name_XBONE"	"«Midgar» Paket"
"Bundle_cbt_medium_womoney_Desc"	"- Die 'Fenrir', ein einzigartiges, schweres Fahrzeug;|- Bewaffnung: 25mm 'AC72 Whirlwind' Autokanone;|- Einzigartige Kabine: 'Wut';|- Einzigartiges Profilbild: 'Wotan';|- Farben: Muster: Flamme, Material: Carbon."
"Bundle_cbt_small_Desc"	"- Die 'Iron Talon', ein exklusives, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Exklusives Profilbild: 'Air Shaman';|- Farben: Material: Aluminium, Muster: Blitz;|- 1300 Coins.|- Diese Version des Pakets wird mit Ende des geschlossenen Betatests nicht länger Verfügbar sein."
"Bundle_cbt_small_Desc_PS4"	"- Die 'Iron Talon', ein exklusives, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Exklusives Profilbild: 'Air Shaman';|- Farben: Material: Aluminium, Muster: Blitz;|- 1000 Coins."
"Bundle_cbt_small_Desc_XBONE"	"- Die 'Iron Talon', ein exklusives, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Exklusives Profilbild: 'Air Shaman';|- Farben: Material: Aluminium, Muster: Blitz;|- 1000 Coins."
"Bundle_cbt_small_Name"	"CBT «Born to Fly» Paket"
"Bundle_cbt_small_Name_PS4"	"«Born to Fly» Paket"
"Bundle_cbt_small_Name_XBONE"	"«Born to Fly» Paket"
"Bundle_cbt_small_womoney_Desc"	"- Die 'Iron Talon', ein einzigartiges, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Einzigartiges Profilbild: 'Air Shaman';|- Farben: Material: Aluminum, Muster: Blitz."
"Bundle_cbt_tank_Desc"	"- Die 'Revenant', ein exklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Turm-Geschütz 'ZS-34 Fat Man', 'LM-54 Chord' Maschinengewehr;|- Exklusive Fahrerkabine: 'Carapax';|- Exklusives Profilbild: 'Tankman';|- Farben: Muster: Quartz, Muster: Irrlicht;|- 4500 Coins.|- Diese Version des Pakets wird mit Ende des geschlossenen Betatests nicht länger Verfügbar sein."
"Bundle_cbt_tank_Desc_PS4"	"- Die 'Revenant', ein exklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Turm-Geschütz 'ZS-34 Fat Man', 'LM-54 Chord' Maschinengewehr;|- Exklusive Fahrerkabine: 'Carapax';|- Exklusives Profilbild: 'Tankman';|- Farben: Muster: Quartz, Muster: Irrlicht;|- 3400 Coins."
"Bundle_cbt_tank_Desc_XBONE"	"- Die 'Revenant', ein exklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Turm-Geschütz 'ZS-34 Fat Man', 'LM-54 Chord' Maschinengewehr;|- Exklusive Fahrerkabine: 'Carapax';|- Exklusives Profilbild: 'Tankman';|- Farben: Muster: Quartz, Muster: Irrlicht;|- 3400 Coins."
"Bundle_cbt_tank_Name"	"CBT «Immortal Warrior» Paket"
"Bundle_cbt_tank_Name_PS4"	"«Immortal Warrior» Paket"
"Bundle_cbt_tank_Name_XBONE"	"«Immortal Warrior» Paket"
"Bundle_cbt_tank_womoney_Desc"	"- Die 'Revenant', ein einzigartiges, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Turm-Geschütz 'ZS-34 Fat Man', 'LM-54 Chord' Maschinengewehr;|- Einzigartige Kabine: 'Carapax';|- Einzigartiges Profilbild: 'Tankman';|- Farben: Muster: Quartz, Muster: Irrlicht."
"Bundle_obt_large_Desc"	"- Die 'Tramp', ein esklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Geschütz 'Executioner';|- Exklusive Kabine: 'Bär';|- Exklusive Profilbild: 'Survivor';|- Farben: Muster: Wüste Digital, Illusion Metallic;|- 2650 Coins."
"Bundle_obt_large_Name"	"«The Tramp» Paket"
"Bundle_obt_medium_Desc"	"- Die 'Fenrir', ein exklusives, schweres Fahrzeug;|- Bewaffnung: 25mm 'AC72 Whirlwind' Autokanone;|- Exklusive Fahrerkabine: 'Fury';|- Exklusives Profilbild: 'Wotan';|- Farben: Muster: Flamme, Material: Carbon;|- 1500 Coins."
"Bundle_obt_medium_Name"	"«Midgar» Paket"
"Bundle_obt_small_Desc"	"- Die 'Iron Talon', ein exklusives, schnelles Fahrzeug;|- Bewaffnung: 20mm 'AC43 Rapier' Autokanone;|- Exklusives Profilbild: 'Air Shaman';|- Farben: Material: Aluminium, Muster: Blitz;|- 1000 Coins."
"Bundle_obt_small_Name"	"«Born to Fly» Paket"
"Bundle_obt_tank_Desc"	"- Die 'Revenant', ein exklusives, schwer gepanzertes Fahrzeug;|- Bewaffnung: 88mm Turm-Geschütz 'ZS-34 Fat Man', 'LM-54 Chord' Maschinengewehr;|- Exklusive Fahrerkabine: 'Carapax';|- Exklusives Profilbild: 'Tankman';|- Farben: Muster: Quartz, Muster: Irrlicht;|- 3400 Coins."
"Bundle_obt_tank_Name"	"«Immortal Warrior» Paket"
"Bundle_steam_25_Desc"	"- Die 'Bloodhound', ein exklusives, gepanzertes Fahrzeug|- Bewaffnung: 2x 'Sledgehammer' Schrotflinten|- Exklusives Profilbild: 'Aleph'|- Farben: 'Dunkelrot', 'Muster: Verbrannte Erde'|- 2000 Coins.|- Diese Version des Pakets wird mit Ende des geschlossenen Betatests nicht länger Verfügbar sein."
"Bundle_steam_25_Name"	"«Wasteland Warrior» Paket (CBT)"
"Bundle_steam_25_obt_Desc"	"- Die 'Bloodhound', ein exklusives, gepanzertes Fahrzeug;|- Bewaffnung: 2x 'Sledgehammer' Schrotflinten;|- Exklusives Profilbild: 'Aleph';|- Farben: Dunkelrot, Muster: Verbrannte Erde;|- 1500 Coins."
"Bundle_steam_25_obt_Name"	"«Wasteland Racer» Paket"
"BUNDLE_WND_BLUEPRINT_HINT"	"Du kannst dein Fahrzeug jetzt oder später über den Reiter 'Blaupausen' zusammenbauen."
"BUNDLE_WND_REWARD_TITLE"	"Du besitzt nun:"
"BUNDLE_WND_TITLE"	"Du hast $name$ gekauft"
"cbt_20_dollars_founders_Vehicle_Desc"	"Diese Fahrzeug-Blaupause erhielt Shaman als Geschenk der Geister, als er die letzte Feder an seinen Kopfschmuck befestigte und erstmals die Oberwelt betrat. Dort sah er stählerne Vögel und Kreaturen mit glühenden Augen und besonders eine von ihnen beflügelte Shamans Phantasie. Seitdem durchstreift er die Ödlande und sucht nach weiteren Bauteilen für seinen 'Vogel'."
"cbt_20_dollars_founders_Vehicle_Name"	"Lavabird"
"cbt_20_dollars_Vehicle_Desc"	"Diese Fahrzeug-Blaupause erhielt Shaman als Geschenk der Geister, als er die letzte Feder an seinen Kopfschmuck befestigte und erstmals die Oberwelt betrat."
"cbt_20_dollars_Vehicle_Name"	"Iron Talon"
"cbt_30_dollars_Vehicle_Desc"	"Kurz nachdem er eines seiner Augen verloren hatte, bemerkte Wotan, dass er die Welt in neuem Licht erstrahlen sah. Metall wurde vor seinen Augen zu Kampffahrzeugen und die 'Fenrir' ist eine von seinen ersten Entwürfen."
"cbt_30_dollars_Vehicle_Name"	"Fenrir"
"cbt_50_dollars_founders_Vehicle_Desc"	"Er konnte sich nicht daran erinnern, wie er am Rand dieser Straße gelandet war. Durchzogen vom beißenden Schmerz der Flammen sah er Menschen umhereilen. Jemand zog ihn fort und versorgte ihn, bis er wieder stehen konnte. Danach marschierte er - für eine gefühlte Ewigkeit. Anfangs noch boten ihm die Menschen Schutz und Wasser zur Bewältigung der glühenden Hitze an, doch schon bald ließ man ihn allein. Bis zur totalen Erschöpfung marschierte er weiter, bis er schließlich auf dem Gelände einer verlassenen Garage landete. Mit der Zeit legte sich sein Wahnsinn und seine Fähigkeiten als Mechaniker kehrten zurück. Hier und jetzt war es, dass er die Turtle zusammenbaute. "
"cbt_50_dollars_founders_Vehicle_Name"	"Armored Turtle"
"cbt_50_dollars_Vehicle_Desc"	"Ein ungewöhnliches Fahrzeug, das von einem Überlebenden in einem Bunker konstruiert wurde. Seine Wunden behandelnd, versuchte der Erbauer nach einem Trauma seine Erinnerung zurückzuerlangen."
"cbt_50_dollars_Vehicle_Name"	"Tramp"
"cbt_60_dollars_Vehicle_Desc"	"Als sich die Lebenserhaltungssysteme abschalteten und die Lichter ausfielen, öffnete Fyodor seine Augen. Er stieg aus dem Bett, ging nach draußen und lachte. Sein Name ist einfach: Tankman. Er liebt Kettenfahrzeuge und große Geschütze und hasst alles andere."
"cbt_60_dollars_Vehicle_Name"	"Revenant"
"CBT_Bundle_Desc"	"- Exklusives Fahrzeug 'Snappy'|- Material: 'Schlange'|- Profilbild: 'Otherkin'"
"CBT_Bundle_Name"	"CBT-Belohnung"
"cbt_steam_Vehicle_Desc"	"Aleph vernahm den Ruf zum ersten Mal, als ein blau schillernder Entwurf an seinem Handgelenk erschien. Er begann mit dem Bau dieses Fahrzeugs aus Teilen, die er auf dem Schlachtfeld fand und nannte es den «Bloodhound». Als seine Augen im Dunkel der Nacht zu leuchten begannen, raste er damit in die Ödlande hinaus."
"cbt_steam_Vehicle_Name"	"Bloodhound"
"Gamescom_2017_Desc"	"Ein besonderer Bonus an die Besucher von Crossout auf der Gamescom 2017:||— Einzigartiges Charakterportrait|— Farbe: Muster 'Graffiti Dawn'|— 500 Coins|"
"Gamescom_2017_Name"	"Gamescom 2017 Bonus"
"item_PW_legend_online_chest_desc"	"Beihaltet ein legendäres Individualisierungspaket."
"item_PW_legend_online_chest_name"	"PW-1 Container"
"item_PW_rare_online_chest_desc"	"Beinhaltet einen der folgenden Gegenstände:|- Seltenes Individualisierungs-Kit|- Ressourcen-Paket|- Seltene Farbe|- Seltenes Deko-Bauteil|- Episches Deko-Bauteil|- Epische Farbe"
"item_PW_rare_online_chest_name"	"PW-0 Container"
"level_up_advertising"	"Vertreibe die Raider der Ödlande mit dem neuen Fahrzeug aus dem 'Snake Bite' Paket!|Das Paket beinhaltet:|* Schnelles Fahrzeug: 'Fang'|* Bewaffnung: Seltenes MM5-4 Vector Maschinengewehr,  LM-54 Chord Maschinengewehr;|* Exklusives Profilbild: \"Vicky\";|* Farbe: Dämmerung Metallic;|* 650 Coins|"
"PSN_Exclusive_pack_Desc"	"- Die \"Prow\", ein exklusives Panzerfahrzeug;|- Bewaffnung: Seltene \"20 mm AC43 Rapier Autokanone\";|- Exklusive Fahrerkabine \"Hot-Rod\";|- Exklusives Profilbild: \"Hunter\";|- Farben: Guter Bulle, Böser Bulle;|- 1250 Coins."
"PSN_Exclusive_pack_Name"	"'Law of the Wasteland' Paket"
