"2STEP_AUTHORIZATION_ENABLED"	"Dein Konto ist geschützt."
"bundle_xmas17_mini_Name"	"\"New Year's Junior\" Paket"
"bundle_xmas17_mini_womoney_Desc"	"- Exklusives gepanzertes Fahrzeug \"Get the fir\"|- Einzigartiges Dekor \"Aus dem Wald\"|- Exklusives Profilbild: Nick Frost|- Farbdose: Ein kleines Etwas|- Erhöht die Maximalanzahl der Bauteile pro Fahrzeug auf 35"
"bundle_xmas17_mini_womoney_Name"	"\"New Year's Junior\" Paket"
"Bundle_Xmas17_Name"	"\"Frostburn\" Paket"
"Bundle_Xmas17_womoney_Name"	"\"Frostburn\" Paket"
"Bundle_Xmas_Yt_name"	"\"Spielerunion\" Paket"
"Cabin_DronSpawn_name"	"Werwolf"
"Cabin_InnateMelee_Desc"	"Die \"Cerberus\" Kabine ist der beste Freund eines jeden Überlebenden. Sie versteht alles, kann dies aber einfach nicht zeigen. Zerfleischt Feinde im Nahkampf, als hätte sie drei Mäuler."
"Cabin_Lambo_Desc"	"Diese Kabine von einem leistungsfähigen Supersportwagen ist mit einem mächtigen Motor und einigen technischen Finessen ausgestattet, die die Genauigkeit erhöhen."
"Cabin_Lambo_Name"	"Torrero"
"Cabin_Mi24_Desc"	"Einst gehörte diese Kabine zu einem Hubschrauber und war hoch am Himmel. Es ist genauso schwer zu glauben, wie die Tatsache, dass Fernseher Menschen töten. All dies ist jedoch wahr.||"
"Cabin_Mi24_Name"	"Ghost"
"Cabin_Tribal_Hog_Desc"	"Mehrere Stoßzähne an der Front der Kabine sehen nicht nur bedrohlich aus, sondern sind zudem eine ungewöhnliche Nahkampfwaffe."
"Cabin_Tribal_Hog_Name"	"Tusk"
"Cabin_Tribal_name"	"Bat"
"Cabin_Tribal_RaiderSkin_Desc"	"Retro-Design und Minimalismus. Diese von einem geheimnisvollen Genie gebaute Kabine trägt den Geist der vergangenen Ära der Großen Kriege in sich."
"call_to_action_to_quests"	"Offene Aufgaben"
"Captcha_text"	"Gebe den Text vom Bild ein."
"Captcha_text_2"	"Übrige Versuche: $val$."
"CarDriver_Firestarters_lvl10_desc"	"Feuerschaden um $car_damage_flame_mul$% erhöht"
"CarDriver_Firestarters_lvl11_name"	"Harter Stahl 3"
"CarDriver_Firestarters_lvl12_name"	"Einzelschuss 3"
"CarDriver_Firestarters_lvl13_desc"	"$targets$: Munition +$ammo_add$ Stk."
"CarDriver_Firestarters_lvl14_desc"	"Die Raddrohne, die nach der $targets$ Kabinenzerstörung ausgesendet wird, ist $nested_car_max_health_mul$% haltbarer."
"CarDriver_Firestarters_lvl14_name"	"Zweite Chance"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$: Aktive Zeit ist um $work_time_mul$% erhöht."
"CarDriver_Firestarters_lvl14_old_name"	"Sengende Wut"
"CarDriver_Firestarters_lvl15_desc"	"Maximale Geschwindigkeit aller Bewegungsteile +$speed_limit_mul$%."
"CarDriver_Firestarters_lvl15_name"	"Unaufhaltsam"
"CarDriver_Firestarters_lvl1_name"	"Harter Stahl 1"
"CarDriver_Firestarters_lvl2_name"	"Einzelschuss 1"
"CarDriver_Firestarters_lvl3_name"	"Starke Position"
"CarDriver_Firestarters_lvl4_desc"	"$targets$ Nachladegeschwindigkeit beschleunigt um $shooting_cooldown_mul$%"
"CarDriver_Firestarters_lvl4_name"	"Klebrig"
"CarDriver_Firestarters_lvl5_desc"	"$targets$ Feuerpfützen Radius +$projectile_spreading_area_height_mul$%"
"CarDriver_Firestarters_lvl5_name"	"Lighter"
"CarDriver_Firestarters_lvl6_name"	"Harter Stahl 2"
"CarDriver_Firestarters_lvl7_name"	"Einzelschuss 2"
"CarDriver_Firestarters_lvl8_desc"	"$targets$ Nachladegeschwindigkeit beschleunigt um $shooting_cooldown_mul$%"
"CarDriver_new_level"	"Neue Fähigkeit verfügbar ´$skill$´"
"CarEditor_paint_erase"	" — Farbe entfernen"
"CarPart_Airintake_Desc"	"Dient zur Luftversorgung der Fahrzeugeinbauten."
"CarPart_Airintake_Name"	"Flugzeug-Lufteinsog "
"CarPart_AmbulanceLights_name"	"Krankenwagen Lichter"
"CarPart_anniversary2018_Desc"	"Ein Geschenk von Ivy, um den ersten Jahrestag der Engineers im Ödland zu würdigen."
"CarPart_anniversary2018_Name"	"Fünftes Rad"
"CarPart_april_balloon_desc"	"Aufblasbare Raketen sind eine gute Möglichkeit, sich über deine Freude lustig zu machen."
"CarPart_CarHorn_Vuvuzela_Desc"	"Eine schallende Geräuschkulisse, die jedes Match und natürlich die Feierlichkeiten nach dem Spiel begleitet."
"CarPart_CarHorn_Vuvuzela_Name"	"Vuvuzela"
"CarPart_Christmas_tree_Name"	"\"Aus dem Wald\""
"CarPart_Duck_Football_Desc"	"Eine Trophäe für die Gewinner des Turniers. Wird vorübergehend bis zum nächsten Turnier vergeben."
"CarPart_Duck_Football_Name"	"Belohnung"
"CarPart_Engine_Powerful_Desc"	"Ein Panzerwagen mit einem extrem starken 12- Ventil-Motor, der alles wegblasen kann: kleine Hindernisse, schläfrige Plünderer, ein Dach...||Es kann nur ein Motor pro Fahrzeug installiert werden."
"CarPart_Engine_Powerful_name"	"Oppressor"
"CarPart_Exhaust_Dble_Side_L_desc"	"Der Besitzer dieser Dekoration ist aufgrund der einzigartigen Zwillingsflammen, die von den Rohren ausgestoßen werden, leicht zu finden."
"CarPart_Exhaust_Dble_Side_L_name"	"Corno sinistro"
"CarPart_Exhaust_Dble_Side_R_desc"	"Der Besitzer dieser Dekoration ist aufgrund der einzigartigen Zwillingsflammen, die von den Rohren ausgestoßen werden, leicht zu finden."
"CarPart_Exhaust_Dble_Side_R_name"	"Corno destro"
"CarPart_FakeGun_Desc"	"Aufblasbare Geschütze wurden zuerst als Lockvogel verwendet. Aber bald wurden sie unter den Überlebenden beliebt, die sie jetzt nur zum Spaß benutzen."
"CarPart_FakeGun_Name"	"Aufblasbare Mammoth"
"CarPart_Fireworks_Anniversary_Desc"	"Schießt eine festliche Rakete in den Himmel, in Form des Crossout-Logos, um das erste Jahr im Ödland zu feiern.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_Anniversary_Name"	"\"Jubiläum\" Feuerwerk"
"CarPart_Fireworks_Dragon_Name"	"Verstecker Drachen"
"CarPart_Fireworks_one_blue_Desc"	"Schießt eine festliche Rakete in den Himmel, randvoll mit grenzenloser Freude. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_one_green_Desc"	"Schießt eine festliche Rakete in den Himmel, randvoll mit grenzenloser Freude. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_one_red_Desc"	"Schießt eine festliche Rakete in den Himmel, randvoll mit grenzenloser Freude. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_six_Desc"	"Schießt eine festliche Salve von 6 Raketen in den Himmel, die Letzte in Form des Crossout Logos, randvoll mit grenzenloser Freude. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_three_Desc"	"Schießt eine festliche Salve von 3 Raketen in den Himmel, randvoll mit grenzenloser Freude. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_Valentine_Desc"	"Schießt eine festliche Rakete in den Himmel, welche in einer Herzform explodiert. Du kannst nur ein Feuerwerk pro Fahrzeug installieren.||Dies ist ein zeitlich begrenzter Gegenstand! Der Countdown startet, sobald du den Gegenstand das erste Mal auf ein Fahrzeug montierst."
"CarPart_Fireworks_Valentine_Name"	"Lila Feuerwerk"
"CarPart_football_hand_finger_Desc"	"Bist du ein Spieler oder ein Fan? Völlig egal! Die Schaumstoffhand sieht auf jedem gepanzerten Auto gut aus!"
"CarPart_football_hand_finger_Name"	"«Nummer 1» Hand"
"CarPart_football_hand_goat_Desc"	"Eine Schaumstoffhand für diejenigen, die gerne schnell fahren, laut Musik hören und Spaß haben!"
"CarPart_football_hand_goat_Name"	"«Ziege» Hand"
"CarPart_Gun_Cannon_Legend_Desc"	"Ein Wettrüsten ist oft der Motor des Fortschritts. Wer hätte gedacht, dass man zusätzliche Feuerkraft aus einer Zwillingsautokanone quetschen könnte. Aber es ist passiert. Außerdem steigt die Feuerrate der Cyclone während des Schießens!"
"CarPart_Gun_Cannon_Legend_Name"	"Cyclone"
"CarPart_Gun_catapult_Desc"	"Startet ein Brandgeschoss mit mittlerer Reichweite. Verursacht einen brennenden Bereich an der Explosionsstelle. Wenn man jemanden mit dieser Waffe trifft, schreien Firestarters anscheinend etwas über einer feurigen Hyäne. Offensichtlich wissen sie nicht, dass sie nicht, dass diese nicht im Ödland gefunden werden können."
"CarPart_Gun_catapult_name"	"Incinerator"
"CarPart_Gun_Flamethrower_fixed_Desc"	"Dies war ein landwirtschaftlicher Flammenwerfer zur Unkraut- und Schädlingsvernichtung. Ein seltener Fall, wenn sich im Laufe der Zeit die Essenz nicht verändert hat."
"CarPart_Gun_Flamethrower_fixed_name"	"Draco"
"CarPart_Gun_Machinegun_Legendary_Name"	"Aspect"
"CarPart_Gun_MineTrap_Desc"	"Eine kuriose Waffe mit Minen lässt kein einziges Opfer von dir entkommen.|Hat keinen Effekt auf Trucks und Leviathane."
"CarPart_Gun_MineTrap_Name"	"Kapkan"
"CarPart_Gun_Revolver_epic_Desc"	"Sieht wie eine Waffe aus der alten Welt aus, als die Knechte noch weit davon entfernt waren auf den Autobahnen des Ödlands umherzuziehen. Es kann durchaus sein, dass es überhaupt keine Autobahnen gab (was für eine Grausamkeit!).|Munitionsreserve und Nachladegeschwindigkeit können nicht verändert werden. Der Clip wird automatisch nachgeladen."
"CarPart_Gun_ShotGun_Garbage_epic_Desc"	"Der Ingenieur, der für das Design dieses Metallmonsters verantwortlich war, war eindeutig von Legenden über Drachen inspiriert.|Eine Salve aus ein paar dieser Schrotflinten kann buchstäblich jeden verdampfen, der dumm genug ist, zu nah zu kommen."
"CarPart_Gun_ShotGun_Garbage_epic_Name"	"Fafnir"
"CarPart_Gun_SMG_Desc"	"Maschinengewehr mit extremer Feuerrate und einem Feuer-Stoß-Modus. Erwarte keinen punktgenauen und großen Schaden, aber dafür eine überraschend dichte Kugelwolke."
"CarPart_Gun_SMG_Name"	"M-37 Piercer"
"CarPart_Gun_Syfy_FusionRifle_epic_Desc"	"Es ist erstaunlich, wie Menschen nahezu gleichzeitig ähnliche Ideen für Erfindungen bekommen. Die Schöpfer vom Prometheus V, obwohl sie unabhängig voneinander gearbeitet hatten, stellten eine Waffe zusammen, die sehr an die Synthesis erinnerte. Jeder Schuss erhöht den Schaden des nächsten."
"CarPart_Gun_Syfy_FusionRifle_epic_Name"	"Prometheus V"
"CarPart_Gun_WheelRocket_Desc"	"Verschießt drei Räder, die fröhlich rollend explodieren, wenn sie mit einem Feind kollidieren oder Schaden erleiden.|Sie sind mit instabilen Sprengstoffen vollgestopft, also detonieren sie nach $projectile_ttl$ Sek."
"CarPart_Gun_WheelRocket_name"	"Fortune"
"CarPart_lambo_f_fender_l_Desc"	"Ein stilvolles Teil von einem leistungsstarken Supersportwagen sollte auf jedem Fahrzeug gut aussehen."
"CarPart_lambo_f_fender_r_Desc"	"Ein stilvolles Teil von einem leistungsstarken Supersportwagen sollte auf jedem Fahrzeug gut aussehen."
"CarPart_lambo_spoiler_Desc"	"Ein Flügel dieser Form zieht alle Aufmerksamkeit auf sich und gelegentlich Kugeln von Hassern."
"CarPart_MBP_Sign_Name"	"Royale Trophäe "
"CarPart_Nyear_Horn_Name"	"Rudolph's Horn"
"CarPart_SelfCalc_Desc"	"Mit diesem Gerät beginnen sich alle Nahkampfwaffen wie verrückt zu drehen und jeden für @ff00ff00$spell_duration$@ffffffff Sek. noch stärker zu verletzen. "
"CarPart_SelfCalc_name"	"Tormentor"
"CarPart_Shnekohod_Desc"	"Ein merkwürdiges Transportmittel mit Schnecken von einem Archimedes-Typen. Jede installierte Schnecke reduziert die Kabinenleistung, erlaubt es jedoch, sich seitwärts zu bewegen."
"CarPart_Spikes2x1x2_Desc"	"Welcher Lunatic mag keine Stacheln? Sie verbauen sie links und rechts mit wenig Rücksicht auf das Design.|Zum Beispiel kann eine Panzerplatte wie diese verwendet werden, um kleine Löcher zu verdecken."
"CarPart_Spikes2x1x2_Name"	"Kapow"
"CarPart_Spikes_4x1x2_Name"	"Clank"
"CarPart_Spikes_4x2x2_Desc"	"Ein paar Stachelplatten reichen aus, um einen kleinen Buggy zu panzern."
"CarPart_Spikes_4x2x2_Name"	"Krak"
"CarPart_Structure_boxslope_1x2x6_name"	"Stromabwärts"
"CarPart_Structure_bumper1_Desc"	"Ein Eisenrohr mit gelöteten Spikes und Klingen."
"CarPart_Structure_bumper1_name"	"Knabberer"
"CarPart_Structure_bumper2_Desc"	"Ein Beispiel unstimmiger zeitgenössischer Kunst des Ödlands. Eine selbstgemachte Stoßstange, durch das Biegen eines Rohres, in der Form von gruseligen Händen gestaltet.|Der Urheber der Idee ist während der Entstehung ausgebrannt."
"CarPart_Structure_bumper2_name"	"Würgegriff"
"CarPart_Structure_diffusor_Desc"	"Ein Diffusor, welcher aus einem Hot-Rod geschnitten wurde und eine Abgasanlage enthält."
"CarPart_Structure_diffusor_name"	"Flammenhaken"
"CarPart_Structure_fender1_Desc"	"Ein selbstgebauter Kotflügel für Autos mit großen Rädern (und Potenzial)."
"CarPart_Structure_fender1_name"	"Scharfer Gipfel"
"CarPart_Structure_fender2_l_name"	"\"Schütze deine Linke\""
"CarPart_Structure_fender2_r_Desc"	"Hinterer Kotflügel für einen Hot-Rod, der für die Einwohner des Tals maßgeschneidert wurde. Auf der rechten Seite gelegen."
"CarPart_Structure_fender2_r_name"	"\"Schütze deine Rechte\""
"CarPart_Structure_fender3_l_Desc"	"Hot-Rod-Kotflügel vorne links. Sieht gefährlich aus. Nicht berühren!"
"CarPart_Structure_fender3_l_name"	"Linker Dorn"
"CarPart_Structure_fender3_r_Desc"	"Hot-Rod-Kotflügel vorne rechts. Sieht gefährlich aus. Nicht berühren!"
"CarPart_Structure_fender3_r_name"	"Rechter Dorn"
"CarPart_Structure_hood_half_Desc"	"Eine halbe Hot-Rod-Haube, die früher als Teil des Auspuffs diente."
"CarPart_Structure_hood_half_name"	"Überschlag"
"CarPart_Structure_radiator_grill1_Desc"	"Vorderteil eines Autos, das früher einen malerischeren Ort als das Ödland durchstreifte."
"CarPart_Structure_radiator_grill2_Desc"	"Niemand erinnert sich daran, was ein Keiler damit zu tun hat und warum die Leute auf diese Weise das vordere Ende des Autos getauft haben. Vielleicht war die Schnauze dieses mythischen Tieres so schrecklich."
"CarPart_Structure_radiator_grill2_name"	"Keiler"
"CarPart_Structure_trunk_Desc"	"Teil eines Hot-Rod-Kofferraums, der von Handwerkern verbessert und mit einem Kühler verschmolzen wurde. Aber die Kühlung funktioniert natürlich nicht mehr."
"CarPart_Structure_trunk_name"	"Versengt"
"CarPart_TankTrackRomb_Desc"	"Die Menschen haben ähnliche Gleisketten während ihres ersten globalen Krieges miteinander erfunden. Jetzt werden sie im gegenwärtigen, weniger globalen Krieg benutzt.|Wenn angebaut, beschränken sie die maximale Geschwindigkeit des Fahrzeugs. Jede verbaute Gleiskette reduziert zudem die Kabinenleistung."
"CarPart_Torch_Blue_Desc"	"Eine hausgemachte Fan-Fackel mit blauem Rauch. Zünde sie nicht in deinen Händen an.|Nur zwei Leuchtfeuer können an einem Fahrzeug montiert werden."
"CarPart_Torch_Blue_Name"	"«Schwarzblaues» Leuchtfeuer"
"CarPart_Torch_Red_Desc"	"Eine hausgemachte Fan-Fackel mit rotem Rauch. Zünde sie nicht in deinen Händen an.|Nur zwei Leuchtfeuer können an einem Fahrzeug montiert werden."
"CarPart_Torch_Red_Name"	"«Rotes Auge» Leuchtfeuer"
"CarPart_Wheel_Hopping_desc"	"Die pneumatische Federung mit variabler Bodenfreiheit ermöglicht es dem Fahrzeug in zwei Modi zu operieren. Und außerdem Tricks zu machen."
"CarPart_Wheel_Hopping_name"	"Hengst"
"CarPart_Wheel_Hopping_S_desc"	"Die pneumatische Federung mit variabler Bodenfreiheit ermöglicht es dem Fahrzeug in zwei Modi zu operieren. Und außerdem Tricks zu machen."
"CarPart_Wheel_Hopping_S_name"	"Hengst (Lenkbar)"
"CarPart_Wheel_MonsterTruck_Desc"	"Aus der Zeit der Wettbewerbe von riesigen Trucks gerettet und wurde von den Firestarters verbessert, um die Feinde effektiver zu vernichten. Jedes installierte Rad reduziert die Kabinenleistung."
"CarPart_Wheel_MonsterTruck_name"	"Bigfoot"
"CarPart_Wheel_MonsterTruck_S_Desc"	"Aus der Zeit der Wettbewerbe von riesigen Trucks gerettet und wurde von den Firestarters verbessert, um die Feinde effektiver zu vernichten. Jedes installierte Rad reduziert die Kabinenleistung."
"CarPart_Wheel_MonsterTruck_S_name"	"Bigfoot (Lenkbar)"
"CarPart_Wheel_SawWheel_Desc"	"Wirf einen Blick auf das originale Reifenfelgendesign. Es bringt die scharfen Emotionen der Fahrt durch das Ödland zum Vorschein. Je schneller du fährst, desto mehr schmerzt es diejenigen, die von den Stacheln getroffen werden! Jedes verbaute Rad reduziert die Kabinenleistung."
"CarPart_Wheel_SawWheel_name"	"Klingenreifen"
"CarPart_Wheel_SawWheel_S_Desc"	"Wirf einen Blick auf das originale Reifenfelgendesign. Es bringt die scharfen Emotionen der Fahrt durch das Ödland zum Vorschein. Je schneller du fährst, desto mehr schmerzt es diejenigen, die von den Stacheln getroffen werden! Jedes verbaute Rad reduziert die Kabinenleistung."
"CarPart_Wheel_SawWheel_S_name"	"Klingenreifen (Lenkbar)"
"CAR_ITEM_LIST_TITLE"	"Verwendete Teile"
"CAR_ITEM_TOTAL_PRICE"	"Ungefähre Kosten: @fff0b912$totalPrice$"
"CAR_ITEM_TOTAL_PRICE_TOOLTIP"	"Gesamtkosten aller Teile, die derzeit auf dem Markt angeboten werden."
"Chase_Defeat_nomads_text"	"Und das ist, was mit jedem von euch passiert."
"Chase_Defeat_nomads_text2"	"Mein Sieg war nur eine Frage der Zeit!"
"Chase_Defeat_nomads_text3"	"Das nächste Mal werden sie pausieren, bevor sie einen echten Krieger herausfordern."
"Chase_Defeat_psycho_text"	"Lasst sie in den Staub beißen, bis sie ersticken! Hahaha!"
"Chase_Defeat_scavengers_text"	"Der Sieg ist unser!"
"Chase_Defeat_scavengers_text2"	"Wir haben sie wirklich dreckig gemacht! Immer noch ein paar Tricks im Ärmel!"
"Chase_Defeat_scavengers_text3"	"Und wer ist jetzt Schrott, hm? Hattet ihr genug?"
"Chase_FirstNPCKill_nomads_text"	"Erstes Blut! Ihr werdet dafür bezahlen!"
"Chase_FirstNPCKill_nomads_text2"	"Die Feinde dachten, der Tod eines Kriegers könnte mich erschrecken? Das ist ein Fehler."
"Chase_FirstNPCKill_nomads_text3"	"Nur Feiglinge konnten so schnell sterben. Es ist eine Schande, dass solche Krieger unter uns weilten. "
"Chase_FirstNPCKill_psycho_text2"	"Was für ein Treffer! Hat sie in Konfetti verwandelt, das muss ich irgendwann auch einmal versuchen..."
"Chase_FirstNPCKill_psycho_text3"	"Wow! Schaut, wie weit es geflogen ist! Hm. Wir werden uns an unseren Soldaten erinnern."
"Chase_FirstNPCKill_scavengers_text"	"Ja! Wir haben sie! Was? Das war einer unserer Leute? Verdammt..."
"Chase_FirstNPCKill_scavengers_text2"	"Schande, ihr habt unser Auto zerstört! Hier kommt ihr nicht so schnell raus!"
"Chase_FirstNPCKill_scavengers_text3"	"Wir werden angegriffen! Haltet dagegen!"
"Chase_FirstTruckKill_nomads_text"	"Ein Truck ist zerstört. Verteidigt den anderen! Haltet die Stellung!"
"Chase_FirstTruckKill_nomads_text2"	"Habt ihr eure Impotenz bemerkt und angefangen Sachen zu zerstören?! Wie tief man fallen kann!"
"Chase_FirstTruckKill_nomads_text3"	"Wir haben einen Transport verloren. Wie erwartet, nichts überraschend. Beschützt den zweiten mit allem, was wir haben!"
"Chase_FirstTruckKill_psycho_text"	"Truck-Fahrer, fahr schneller! Oder willst du so wie der da enden?"
"Chase_FirstTruckKill_psycho_text2"	"Ow! Oh! Hey! Der arme Truck hat es wirklich gefühlt..."
"Chase_FirstTruckKill_psycho_text3"	"Wehe ihr jagt das zweite Auto in die Luft, macht es nicht, lasst es... Puh, ich glaube ich habe es geschafft."
"Chase_FirstTruckKill_scavengers_text"	"Aaah, der Truck ist zerstört! Haltet die Drehzahl hoch oder wir werden hier alle sterben!"
"Chase_HalfWay_nomads_text"	"Wir sind auf halbem Weg zum Ziel! Macht weiter so!"
"Chase_HalfWay_nomads_text2"	"Ihr seid so weit gekommen, ihr könnt bis ans Ende kommen. Diese Karawane, genau wie meine Kugeln, kann nicht gestoppt werden!"
"Chase_HalfWay_nomads_text3"	"Wir sind nah, die Hälfte der Strecke liegt bereits hinter uns. Der Meister wird sich freuen. Ich muss diesen lästigen Parasiten nur eine Lektion erteilen."
