"BLUEPRINT_RECENT_BLUEPRINT"	"Последние чертежи"
"CarPart_FenderSolidOutside_rare_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_FenderSolidOutside_rare_Name"	"Внешнее крыло"
"CarPart_Flag_URSS_desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Flag_URSS_name"	"Флаг СССР"
"CarPart_FuelGiant_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_FuelGiant_Name"	"Бочка"
"CarPart_Headlights2_desc"	"Пусть сменные лампы найти нелегко, многие готовы на жертвы, чтобы украсить свою машину."
"CarPart_Headlights2_name"	"Фары"
"CarPart_Headlights3_Desc"	"Пусть сменные лампы найти нелегко, многие готовы на жертвы, чтобы украсить свою машину."
"CarPart_Headlights3_Name"	"Лампа дневного света"
"CarPart_Headlights4_Desc"	"Пусть сменные лампы найти нелегко, многие готовы на жертвы, чтобы украсить свою машину."
"CarPart_Headlights4_Name"	"Комплекс фар"
"CarPart_Headlights5_Desc"	"Пусть сменные лампы найти нелегко, многие готовы на жертвы, чтобы украсить свою машину."
"CarPart_Headlights5_Name"	"Адовый фонарь"
"CarPart_Headlights_desc"	"Пусть сменные лампы найти нелегко, многие готовы на жертвы, чтобы украсить свою машину."
"CarPart_Headlights_name"	"Фара"
"CarPart_Horns01_Desc"	"Призваны вызывать почет и уважение."
"CarPart_Horns01_Name"	"Рога"
"CarPart_LeatherBag_Desc"	"Хоть на самом деле в нее ничего нельзя сложить, выглядит эффектно."
"CarPart_LeatherBag_Name"	"Седельная сумка"
"CarPart_LightsRear1_desc"	"Кажется, что больше нет правил, и не надо никого предупреждать о торможении. Но невозможно сопротивляться магии мигающих красных огоньков..."
"CarPart_LightsRear1_name"	"Круглый стоп-сигнал"
"CarPart_PoliceLights_Desc"	"В мире, где закон остался лишь абстрактным понятием, мигалка может быть только необычным источником света."
"CarPart_PoliceLights_Name"	"Мигалка"
"CarPart_PoliceLights_Piece_desc"	"Фрагмент для сборки украшения «Мигалка»"
"CarPart_PoliceLights_Piece_name"	"Фрагмент «Мигалка»"
"CarPart_RoadsignCircle_01_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_RoadsignCircle_01_Name"	"Знак «Въезд запрещен»"
"CarPart_RoadsignSquare_01_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_RoadsignSquare_01_Name"	"Знак «Ремонт»"
"CarPart_Roadsign_01_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_01_Name"	"«Стоп!»"
"CarPart_Roadsign_01_Piece_desc"	"Фрагмент для сборки украшения «Стоп!»"
"CarPart_Roadsign_01_Piece_name"	"Фрагмент «Стоп!»"
"CarPart_Roadsign_02_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_02_Name"	"«Мне все можно»"
"CarPart_Roadsign_03_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_03_Name"	"«Сам ты мусор!»"
"CarPart_Roadsign_04_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_04_Name"	"«Выхода нет»"
"CarPart_Roadsign_04_Piece_desc"	"Фрагмент для сборки украшения «Выхода нет»"
"CarPart_Roadsign_04_Piece_name"	"Фрагмент «Выхода нет»"
"CarPart_Roadsign_05_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_05_Name"	"«Бегите, глупцы»"
"CarPart_Roadsign_06_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_06_Name"	"«Остановись, подумай»"
"CarPart_Roadsign_06_Piece_desc"	"Фрагмент для сборки украшения «Остановись, подумай»"
"CarPart_Roadsign_06_Piece_name"	"Фрагмент «Остановись, подумай»"
"CarPart_Roadsign_09_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_09_Name"	"Танки хой!"
"CarPart_Roadsign_10_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_10_Name"	"Скользкая дорожка"
"CarPart_Roadsign_11_Desc"	"Когда-то эти жестяные пластинки с пиктограммами означали что-то важное для всех водителей. Теперь каждый находит в них свой смысл."
"CarPart_Roadsign_11_Name"	"Осторожно, мутанты!"
"CarPart_Skull01_Desc"	"Призван внушать страх и трепет."
"CarPart_Skull01_Name"	"Череп"
"CarPart_Skull01_Piece_desc"	"Фрагмент для сборки украшения «Череп»"
"CarPart_Skull01_Piece_name"	"Фрагмент «Череп»"
"CarPart_SocialDuck_China_Desc"	"Воспоминание о прекрасных днях прямиком из бабушкиного сундучка. Сегодня таких больше не производят."
"CarPart_SocialDuck_China_Name"	"Ухтыкто"
"CarPart_SpareTire_Desc"	"Когда старая покрышка уже не может служить по назначению, из нее можно создать множество оригинальных украшений. А можно просто прицепить на машину."
"CarPart_SpareTire_Name"	"Запаска"
"CarPart_Speakers_Big_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Speakers_Big_Name"	"Колонка большая"
"CarPart_Speakers_Small_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
"CarPart_Speakers_Small_Name"	"Колонка малая"
"CarPart_Speakers_Small_Piece_desc"	"Фрагмент для сборки украшения «Колонка малая»"
"CarPart_Speakers_Small_Piece_name"	"Фрагмент «Колонка малая»"
"CarPart_TaxiLight_desc"	"Самый простой способ подзаработать в суровых пустошах."
"CarPart_TaxiLight_name"	"Знак такси"
"CarPart_TaxiLight_Piece_desc"	"Фрагмент для сборки украшения «Знак такси»"
"CarPart_TaxiLight_Piece_name"	"Фрагмент «Знак такси»"
"CarPart_Torch_Desc"	"Не оказывает влияния на ходовые качества машины, но как круто выглядит!"
