"2STEP_AUTHORIZATION_ENABLED"	"บัญชีของคุณได้รับการรักษาความปลอดภัยแล้ว"
"Bundle_Firestarters_womoney_Desc"	"- รถ Wild Fire|- อาวุธ Junkbow x2|- ตัวถัง Cerberus|- ใช้งานไอเทมฝ่าย Firestarters ได้ก่อน|- อวาตาร์ Red Hot|- สี Fire Salamander of legendary|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 60 ชิ้น|- สติ๊กเกอร์ Capricorn"
"Bundle_Firestarters_womoney_Name"	"'Arsonist' Pack"
"Bundle_Football_Desc"	"- รถ Fan Van|- แตร Vuvuzela|- ของตกแต่ง พลุ Black and Blue flare และ Red Eye|- อวาตาร์ Hector|- สติ๊กเกอร์ Ball in the game|- สี To the championship!|- ขยายจำนวนการติดตั้งไอเทมสูงสุดเป็น 40 ชิ้น|- 500 Cash"
"Bundle_Football_Name"	"'Third Half' pack"
"Bundle_Football_womoney_Desc"	"- รถ Fan Van|- แตร Vuvuzela|- ของตกแต่ง พลุ Black and Blue flare และ Red Eye|- อวาตาร์ Hector|- สติ๊กเกอร์ Ball in the game|- สี To the championship!|- ขยายจำนวนการติดตั้งไอเทมสูงสุดเป็น 40 ชิ้น"
"Bundle_Football_womoney_Name"	"'Third Half' pack"
"Bundle_Hunter_Desc"	"- รถ Beater|- กับดัก Kapkan|- อาวุธ Sledgehammer x3|- ตัวถัง Ghost|- อวาตาร์ Wolfhound|- สี Misty Marshes|- ขยายจำนวนการติดตั้งไอเทมสูงสุดเป็น 55 ชิ้น|- สติ๊กเกอร์ Hunger x2|- 2,650 Cash"
"Bundle_Hunter_Name"	"'Spectral Hunter' pack"
"Bundle_Hunter_womoney_Desc"	"- รถ Beater|- กับดัก Kapkan|- อาวุธ Sledgehammer x3|- ตัวถัง Ghost|- อวาตาร์ Wolfhound|- สี Misty Marshes|- ขยายจำนวนการติดตั้งไอเทมสูงสุดเป็น 55 ชิ้น|- สติ๊กเกอร์ Hunger x2"
"Bundle_Hunter_womoney_Name"	"'Spectral Hunter' pack"
"Bundle_Landing_cabin_Name"	"A Special Gift"
"Bundle_Landing_weapon_Desc"	"- อาวุธ LM-54 Chord|- อาวุธ Lupara|- อาวุธ Avenger 57mm|||คุณสามารถได้รับไอเทมตอนนี้หรือภายหลังก็ได้ ไอเทมต่างๆจะถูกเก็บไว้ที่คลังเก็บของ"
"Bundle_Landing_weapon_Name"	"A Special Gift"
"Bundle_Sportcar_Name"	"Corrida Pack"
"Bundle_WW1_Desc"	"- ตัวถัง Mark EX|- อาวุธ ST-M23 Defender x2, ZS-34 Fat Man|- ล้อ Goliath track|- อวาตาร์ Lieutenant Mitchell|- สี Solomon's pattern|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- สติ๊กเกอร์ Dogs of War x2|- 3,400 Cash"
"Bundle_WW1_name"	"Iron Shield Pack"
"Bundle_WW1_womoney_Desc"	"- ตัวถัง Mark EX|- อาวุธ ST-M23 Defender x2, ZS-34 Fat Man|- ล้อ Goliath track|- อวาตาร์ Lieutenant Mitchell|- สี Solomon's pattern|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- สติ๊กเกอร์ Dogs of War x2"
"Bundle_WW1_womoney_name"	"Iron Shield Pack"
"Bundle_Xmas17_Desc"	"- รถ Icebreaker|- ตัวถัง Icebox|- อาวุธ ST-M26 Tackler x2|- เครื่องยนต์ Razorback, Weapon Cooler|- อวาตาร์ Jack Frost|- สี Cold Flame, Aluminium|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 55 ชิ้น|- ได้รับ 2,100 Cash"
"Bundle_Xmas17_mini_bound_Desc"	"- รถ Get the fir|- ของตกแต่ง From the forest|- สี A little something|- เพิ่มจำนวนไอเทมสูงสุดเป็น 35 ชิ้น|- 500 Cash"
"Bundle_Xmas17_mini_bound_Name"	"New Year's Junior Pack"
"bundle_xmas17_mini_Desc"	"- รถ Get the fir|- ของตกแต่ง From the forest|- อวาตาร์ Nick Frost|- สี A little something|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 35 ชิ้น|- ได้รับ 500 Cash"
"bundle_xmas17_mini_Name"	"New Year's Junior Pack"
"bundle_xmas17_mini_womoney_Desc"	"- รถ Get the fir|- ของตกแต่ง From the forest|- อวาตาร์ Nick Frost|- สี A little something|- ขยายการติดตั้งไอเทมได้สูงสุดเป็น 35 ชิ้น"
"bundle_xmas17_mini_womoney_Name"	"New Year's Junior Pack"
"Bundle_Xmas17_Name"	"Frostburn Pack"
"Bundle_Xmas17_womoney_Name"	"Frostburn Pack"
"Bundle_Xmas_Yt_desc"	"- ได้รับ 200 Cash|- สติ๊กเกอร์ Christmas not-a-toy|- สี Player Union "
"Bundle_Xmas_Yt_name"	"Player Union Pack"
"Cabin_DronSpawn_Desc"	"ด้วยตัวถังนี้ มันสามารถเปลี่ยนความพ่ายแพ้เป็นชัยชนะ! จงอย่ากลัว มันก็แค่กระสุน"
"Cabin_DronSpawn_name"	"Werewolf"
"Cabin_InnateMelee_Desc"	"ตัวถัง Cerberus เป็นดั่งเพื่อนยากเพราะมันเข้าใจทุกๆสิ่ง แค่มันพูดไม่ได้ สามารถโจมตีศัตรูในระยะประชิดด้วยอาวุธที่คล้ายๆกับปากตรงหัวรถ"
"Cabin_Lambo_Desc"	"ตัวถังรถซุปเปอร์คาร์ที่มาพร้อมเทคโนโลยีสุดยอดและเสียงเครื่องยนต์อันทรงพลัง"
"Cabin_Lambo_Name"	"Torero"
"Cabin_Mi24_Desc"	"ครั้งหนึ่งมันเคยเป็นเฮลิคอปเตอร์มาก่อน แม้ว่ามันยากที่จะเชื่อ แต่มันคือเรื่องจริง"
"Cabin_Mi24_Name"	"Ghost"
"Cabin_Tribal_Desc"	"หนึ่งในตัวถังของ Firestarters สามารถข้าม Wasteland ได้ด้วยตัวเองยามค่ำคืน"
"Cabin_Tribal_Hog_Desc"	"Tusk ถูกปรับแต่งที่ด้านหน้าตัวถัง มันไม่ใช่แค่ไว้ใช้ขู่เท่านั้น แต่สามารถโจมตีระยะประชิดได้ด้วยการชน"
"Cabin_Tribal_Hog_Name"	"Tusk"
"Cabin_Tribal_name"	"Bat"
"call_to_action_to_quests"	"เริ่มภารกิจ"
"Captcha_text"	"กรอกตัวอักษรตามภาพ"
"Captcha_text_2"	"ลองได้อีก: $val$ ครั้ง"
"CarDriver_Firestarters_lvl10_desc"	"การโจมตีด้วยไฟมีพลังทำลายเพิ่มขึ้น $car_damage_flame_mul$%"
"CarDriver_Firestarters_lvl11_desc"	"$targets$: ความทนทาน +$health_mul$%"
"CarDriver_Firestarters_lvl11_name"	"Hard steel 3"
"CarDriver_Firestarters_lvl12_desc"	"$targets$ พลังทำลาย +$damage_mul$%"
"CarDriver_Firestarters_lvl12_name"	"Oneshot 3"
"CarDriver_Firestarters_lvl13_desc"	"$targets$: กระสุน +$ammo_add$ ชิ้น"
"CarDriver_Firestarters_lvl14_desc"	"โดรนที่เหลืออยู่หลังจากตัวถัง $target$ ถูกทำลาย จะทนทานขึ้น $nested_car_max_health_mul$%"
"CarDriver_Firestarters_lvl14_name"	"Second chance"
"CarDriver_Firestarters_lvl14_old_desc"	"$targets$: ยืดเวลาใช้งานไอเทม $work_time_mul$%"
"CarDriver_Firestarters_lvl14_old_name"	"Searing rage"
"CarDriver_Firestarters_lvl15_desc"	"ไอเทมสำหรับเคลื่อนที่มีความเร็วสูงสุด +$speed_limit_mul$%"
"CarDriver_Firestarters_lvl15_name"	"Unstoppable"
"CarDriver_Firestarters_lvl1_desc"	"$targets$: ความทนทาน +$health_mul$%"
"CarDriver_Firestarters_lvl1_name"	"Hard steel 1"
"CarDriver_Firestarters_lvl2_name"	"Oneshot 1"
"CarDriver_Firestarters_lvl3_desc"	"$targets$: ความทนทาน +$health_mul$%"
"CarDriver_Firestarters_lvl3_name"	"Strong position"
"CarDriver_Firestarters_lvl4_desc"	"$targets$: ความเร็วการรีโหลดเพิ่มขึ้น $shooting_cooldown_mul$%"
"CarDriver_Firestarters_lvl4_name"	"Sticky"
"CarDriver_Firestarters_lvl5_desc"	"$targets$ ขอบเขตของบ่อไฟ +$projectile_spreading_area_height_mul$%"
"CarDriver_Firestarters_lvl5_name"	"Lighter"
"CarDriver_Firestarters_lvl6_desc"	"$targets$: ความทนทาน +$health_mul$%"
"CarDriver_Firestarters_lvl6_name"	"Hard steel 2"
"CarDriver_Firestarters_lvl7_desc"	"$targets$ พลังทำลาย +$damage_mul$%"
"CarDriver_Firestarters_lvl7_name"	"Oneshot 2"
"CarDriver_Firestarters_lvl8_desc"	"$targets$: ความเร็วในการรีโหลดเพิ่มขึ้น $shooting_cooldown_mul$%"
"CarDriver_new_level"	"'$skill$' สกิลใหม่ใช้งานได้ "
"CarEditor_paint_erase"	" — ล้างสี"
"CarPart_Airintake_Desc"	"ทำหน้าที่ดูดอากาศเข้าสู่ตัวรถ"
"CarPart_Airintake_Name"	"Plane air intake"
"CarPart_AmbulanceLights_desc"	"ไฟไซเรนที่ถูกเก็บรักษาไว้อย่างดีหลังเกิดภัยพิบัติ มันมีไว้แจ้งเตือนให้ทุกคนให้รีบหนีในทันที"
"CarPart_AmbulanceLights_name"	"Ambulance lights"
"CarPart_anniversary2018_Desc"	"ของขวัญจาก Ivy เพื่อเป็นเกียรติแก่ครบรอบแรกของการเข้ามาของวิศวกรในถิ่นทุรกันดาร"
