"2STEP_AUTHORIZATION_ENABLED"	"Tu cuenta está protegida."
"CONFIRMATION_TO_HANGAR_PARTY_LEADER"	"Si vas al garaje, todos los miembros del grupo también abandonarán la pantalla de resultados del combate.|¿Ir al garaje ahora?"
"Craftsman_FirestartersReleaseCraftsman_Name"	"Altar de los Adoradores del Fuego"
"Craftsman_GermanCraftsman_Desc"	"Aquí es donde Martin intercambia los táleros por varios objetos que trae de sus viajes."
"Craftsman_NewYearCraftsman_Desc"	"Aquí puedes intercambiar viejos petardos por fuegos artificiales funcionales y decoraciones de Año Nuevo."
"Craftsman_ResourseExchange_Desc"	"¡Intercambia comendas a buen precio!"
"CUSTOM_GAME_CREATE_BTN"	"Crear una partida"
"CUSTOM_GAME_CREATE_Desc"	"Puedes crear tu propia partida e invitar a tus amigos.|Pero ten en cuenta que no recibirás recompensas al jugar en este modo."
"CUSTOM_GAME_VALIDATION_ERROR"	"El juego no puede iniciarse debido a la siguiente razón:"
"D3D9_SUPPORT_WARNING"	"¡Atención! A partir de julio del 2018, dejaremos de dar soporte a DirectX 9 y nos concentraremos por completo en dar soporte a DirectX 11. Para más detalles, consulta $url href=\"https://crossout.net/es/news/217/current/\" text=\"el sitio web del juego\"$."
"DailyRewardHelp21"	"Las recompensas se reinician el día 1 de cada mes. Para conseguir todas las recompensas, tienes que entrar al juego al menos durante 21 días del mismo mes."
"Daily_4_Wins_Cannon_desc"	"En el modo 'Misión' o 'Incursión', gana {$required_value$;batalla;batallas} usando un cañón."
"Daily_5_Market_desc"	"Compra o vende un objeto en el mercado."
"Daily_6_Quests_desc"	"Completa {$required_value$;'desafío diario';'desafíos diarios'}."
"DebriefingWnd_to_hangar_tooltip"	"Ir al garaje"
"DEBR_ACCUMULATORS_TITLE"	"Baterías"
"DEBR_FINISHREASON_PLACE"	"Estás en $place$ lugar"
"DEBR_HEADER_GOALS"	"Goles"
"DEBR_LOSEREASON_DOMINATION"	"El enemigo ha capturado dos bases"
"DEBR_LOSEREASON_DOMINATION_TIMER"	"Se ha acabado el tiempo y el enemigo cuenta con más bases bajo su control"
"DEBR_NO_WEEKLY_QUESTS"	"No hay desafíos activos"
"DEBR_PLASTIC_TITLE"	"Plástico"
"DEBR_PREMIUM_EXP_PERCENT"	"Funciones del escáner:"
"DEBR_WEEKLY_TITLE"	"Desafíos semanales"
"DEBR_WINREASON_DOMINATION"	"Has capturado dos bases"
"DEBR_WINREASON_DOMINATION_TIMER"	"Se ha acabado el tiempo y los aliados cuentan con más bases bajo su control"
"Decal_1april02_Name"	"Vuelo en picado"
"Decal_1april04_Name"	"¡Sorpresa!"
"Decal_bull01_Name"	"Toro loco"
"Decal_Crossout_2018_Firestarters_Name"	"Adorador del Fuego"
"Decal_Crossout_2018_Military_Name"	"Lobo Estepario"
"Decal_Crossout_2018_Scientists_Name"	"Hijo del Amanecer"
"Decal_halloweenPromo_Name"	"Halloboom"
"Decal_tw_hit_name"	"Golpe mortal"
"driverswnd_skills"	"Habilidades:"
"Driver_Firestarters_Desc"	"Antes de unirse a los Adoradores del Fuego, pasó varios años con los Lunáticos donde aprendió a disparar y luchar bien. Pero ella logró una verdadera maestría en el combate al lidiar con fuego."
"Driver_Firestarters_Name"	"Misty"
"ERROR_ANOTHER_CHEST_OPENED"	"Otro cofre ya está abierto. Por favor, recoge su contenido primero."
"ERROR_CARDESIGN_FIREWORK_COUNT_EXCEEDED"	"Has superado el número máximo de fuegos artificiales que se pueden instalar en el vehículo blindado."
"ERROR_CARDESIGN_LEVI_REQUIRED"	"Este modo requiere un leviatán."
"ERROR_CLAN_INCORRECT_DATA"	"Datos de clan incorrectos. Póngase en contacto con el soporte técnico."
"ERROR_CLAN_JOIN_LOCKOUT"	"No puedes cambiar de clan con demasiada frecuencia. Podrás unirte a un nuevo clan en $time_left$."
"ERROR_CLAN_JOIN_REQ_ALREADY_SENT"	"Ya has enviado una solicitud para unirte a este clan."
"ERROR_CLAN_NOT_RECRUITING"	"El clan no está reclutando."
"ERROR_CLAN_RECRUITING_LIST_FULL"	"Se ha superado el límite de solicitudes para el clan elegido. Por favor inténtalo más tarde cuando el líder del clan haya procesado las solicitudes existentes."
"ERROR_CLAN_RECRUITING_LVL_NOT_ENOUGH"	"El clan está reclutando jugadores de nivel $level$ o superior."
"ERROR_CRAFT_CRAFTSMAN_CANT_HIRE_FESTIVAL"	"No se puede contratar a un artesano del evento."
"ERROR_FESTIVAL_NOT_ACTIVE"	"El evento no está activo."
"ERROR_FL_TOO_MANY_FRIENDS"	"Tienes demasiados amigos. Elimina un jugador de la lista e inténtalo de nuevo."
"ERROR_FL_TOO_MANY_FRIENDS_OTHER"	"La lista de amigos de este jugador está llena."
"ERROR_FL_TOO_MANY_IGNORED"	"Tienes demasiados jugadores en la lista negra. Elimina un jugador de la lista e inténtalo de nuevo."
"ERROR_GIVEAWAY_LEVEL_REQUIRED"	"Nivel de reputación insuficiente para recibir el regalo."
"ERROR_GIVEAWAY_NO_ACTIVE_GIVEAWAY"	"No se encontró ningún regalo."
"ERROR_MM_CLAN_WARS_CLAN_REQUIRED"	"Tienes que formar parte de un clan para participar en las batallas de clanes."
"ERROR_MM_CLAN_WARS_LOCKED"	"Se ha bloqueado el poder participar en las Guerras de Clanes hasta el próximo torneo debido a cambios en los clanes."
"ERROR_MM_IN_LOBBY"	"Abandona la batalla personalizada para unirte a otros modos de batalla"
"ERROR_MM_QUEUE_NOT_FOUND"	"No se ha podido encontrar una cola adecuada."
"ERROR_NO_CHEST_OPENED"	"Estás intentando hacer una nueva tirada para el contenido de la caja que aún no has abierto."
"ERROR_NO_REROLL_COST"	"No tienes más intentos."
"ERROR_PARTY_IN_QUEUE"	"Los jugadores en cola para batalla no puedes invitar o ser invitados a una partida."
"ERROR_PARTY_TUTORIAL_REQUIRED"	"El jugador tiene que completar el tutorial."
"ERROR_SERVER_CERT_UNTRUSTED"	"No se ha podido confirmar la autenticidad del servidor. Tu programa (antivirus, proxy, etc.) o proveedor de internet puede estar cambiando el certificado por su propia cuenta. $url href=\"https://forum.crossout.net/index.php?/topic/290849-possible-solution-to-the-problem-with-inability-to-enter-the-game-antivirus/\" text=\"Lee más en los foros del juego\"$."
"ERROR_WRONG_ROLL_COUNT"	"No tienes más intentos."
"EventBanner_name_ANNIVERSARY"	"PRIMER AÑO EN WASTELAND"
"EventBanner_name_FOOLS_DAY"	"Tío, ¿dónde has conseguido el vehículo?"
"EventBanner_name_FOOTBALL"	"CAMPEONATO DE ACERO"
"EventBanner_name_NEW_YEAR"	"Tormenta de Nieve"
"EventBanner_name_RESOURSE_EXCHANGE"	"Mercadillo"
"EventBanner_name_TWO_STEPS_AUTHORIZATION"	"PROTEGE TU CUENTA"
"EventNotificationWnd_2Steps_link"	"Actívala y consigue una recompensa"
"EventNotificationWnd_quests"	"Desafíos"
"EventNotificationWnd_quests_disabled_tooltip"	"Esta misión requiere nivel $level$ de reputación con la facción \"Ingenieros\"."
"event_notification_desc_FIRESTARTERS_RELEASE"	"¡Prepárate para la llegada de los Firestarters!|Completa la misión especial 'Hot Spot' y cambia los mecheros que consigas por piezas de la nueva facción ya mismo.|Puedes encontrar el periodo exacto que durará el evento en nuestra web."
"event_notification_desc_FOOLS_DAY"	"Es el Día de los Inocentes en Crossout! Pelea con otros supervivientes al volante de locos vehículos, completa desafíos y consigue nuevas pegatinas y decoraciones. |Visita la página web de Crossout para más información."
"event_notification_desc_FOOTBALL"	"¡Lucha contra otros supervivientes en el primer torneo de fútbol de Crossout! ¡Arranca tu motor, coge tu arpón y en marcha! Para acceder al modo tienes que ser nivel 4 de reputación con la facción 'Ingenieros'."
"event_notification_desc_NEW_YEAR"	"¡La \"Tormenta de Nieve\" ha llegado a Crossout! Completa las misiones del evento e intercambia petardos por decoraciones de Año Nuevo. Esta vez los Carroñeros han traído fuegos artificiales y pegatinas. Revisa en nuestro sitio web la fecha exacta de inicio del evento."
"event_notification_desc_RESOURSE_EXCHANGE"	"Un mercadillo que abrirá en el Valle solo por un par de días. Asegúrate de intercambiar los cables por nuevas baterías y plástico a un precio excelente."
"event_notification_desc_TWO_STEPS_AUTHORIZATION"	"Activa la verificación en dos pasos y consigue una pegatina única más un escáner durante 24 horas.|Para asegurarte de que los cambios estén en vigor, por favor reinicia el juego."
"event_notification_title_ANNIVERSARY"	"¡Celebrando nuestro primer año en Wasteland!"
"event_notification_title_FOOLS_DAY"	"¿De dónde sacaste el vehículo, tío?"
"event_notification_title_FOOTBALL"	"Campeonato de Acero"
"event_notification_title_GERMAN_CRAFT"	"¡Los Knight Riders han vuelto!"
"event_notification_title_NEW_YEAR"	"¡Felices vacaciones de invierno!"
"event_notification_title_RESOURSE_EXCHANGE"	"Mercadillo"
"event_notification_title_TWO_STEPS_AUTHORIZATION"	"¡Protege tu cuenta!"
"ExhibitionFindParamWnd_PartName"	"Nombre de pieza"
"ExhibitionFindParamWnd_PSMax"	"PS máximo"
"ExhibitionFindParamWnd_PS_Params"	"Puntos de Poder (PS) del plano"
"ExhibitionFindParamWnd_Title"	"Búsqueda avanzada"
"EXHIBITION_HAVE_PARTS"	"Puedes construir"
"Exploration_Cargo_name"	"Cargamento"
"Exploration_Message_PatrolEvent_name"	"Patrulla"
"Exploration_PublicQuest_Defense_Name"	"Defensa"
"Exploration_Quest_Survey3_Name"	"Reuniendo información"
"FactionCraftWnd_free_craftsman_stamina"	"Puedes seguir usando de forma gratuita el taller para fabricar piezas por $time_left$. Los usos pre-pagados del taller ({$stamina$ piezas}) estarán disponibles una vez termine el evento."
"faction_6_desc"	"La casta, responsable del procesamiento y el control ideológico de las masas. Quema despiadadamente a los disidentes con fuego. No se sabe si realmente conocen la magia, pero nadie ha visto nunca a alguien que se haya atrevido a cuestionarlo públicamente."
"faction_6_name"	"Adoradores del Fuego"
"FACTION_BONUS_QUEST_SEASON_FACTION_TOOLTIP"	"Desbloquea el acceso a la temporada $name$"
"FACTION_CRAFT_CHEST_CONTENT"	"Posibles contenidos"
"FACTION_CRAFT_CHEST_CONTENT_TITLE"	"Contiene uno de estos objetos:"
"faction_firestarters_leader_title"	"Chamán Supremo"
"firestarters_10lvl_vehicle_desc"	"¡Un pato no es solo una decoración!"
"firestarters_10lvl_vehicle_name"	"Genie"
"firestarters_13lvl_vehicle_desc"	"Infunde miedo solo con su apariencia. Solo deja ruinas y restos de vehículos quemados a su paso."
"firestarters_13lvl_vehicle_name"	"Vendigo"
"firestarters_15lvl_vehicle_name"	"Ifrit"
"firestarters_1lvl_vehicle_desc"	"Al conducir este vehículo, debes acordarte de estar pendiente de la distancia, mantente lo más cerca posible. Y entonces los explosivos o la metralla harán su trabajo."
"firestarters_5lvl_vehicle_desc"	"Este plano utiliza los principios de ingeniería más importantes de los Lunáticos. Velocidad, explosivos y un montón de locura."
"firestarters_5lvl_vehicle_name"	"Rakshasa"
"firestarter_bundle_Vehicle_Desc"	"Red Hot construyó este vehículo poco después de unirse a los Adoradores del Fuego. El explosivo carácter de su creador y su deseo de enfrentar a sus víctimas antes de su muerte fueron reflejados tanto en la apariencia de este aterrador vehículo como en su armamento."
"firestarter_bundle_Vehicle_Name"	"Wild Fire"
"FMA_USER_PROFILE"	"Ver el perfil personal"
"Football_caption"	"Hector"
"football_comment_domination_01"	"Parece que uno de los equipos creyó que esto es un paseo de prueba y se ha olvidado del partido. ¡Es hora de golpear la pelota, gente!"
"football_comment_domination_03"	"No estoy seguro de si debería reír o llorar. ¿Llamas a esto un partido? ¡Recobrad la compostura! ¡Mostradnos de que sois capaces!"
"football_comment_equaliser_01"	"¡Qué partido! ¡La trama se está elaborando! Este equipo no está preparado para regalar la victoria así como así."
"football_comment_goal_01"	"¡Vaya gol! ¡La multitud se vuelve loca! El balón entró directo en la red y así se lleva un punto para su equipo."
"football_comment_hattrick_01"	"¡$username$ es imparable hoy! Un tercer gol y con este ¡ya es un hat-trick! ¡Qué partido!"
"football_comment_minutetogo_01"	"Solo queda un minuto en el cronómetro. ¡Que gane el más fuerte!"
"football_comment_minutetogo_02"	"¡Es hora de enviar el balón a la red! ¡Solo queda un minuto!"
"football_comment_overtimewin_01"	"¡GOOOL! $username$ ha hecho explotar la puerta del enemigo y con ello consigue la victoria para su equipo. ¡Qué jugada!"
"football_comment_pause_01"	"Hoy es un bonito día... ¡Para hacer explotar la red del oponente!"
"football_comment_start_01"	"¡Que comience la COSECHAAAA! Um, quiero decir ¡el JUEGOOOO! ¡A rodar supervivientes!"
"frenzied_10lvl_vehicle_name"	"Rrrocket!"
"frenzied_15lvl_vehicle_desc"	"Bestia"
"frenzied_7lvl_vehicle_desc"	"Un vehículo de los Lunáticos"
"frenzied_7lvl_vehicle_name"	"Kaboom"
"FusionRifle_Damage_Increasing_DESC"	"Con cada ráfaga, cada disparo hace un $burst_damage_mul$% más de daño que el anterior."
"GameHighlights_GameFinish"	"La partida ha finalizado"
"GameHighlights_LeviathanKill"	"Mata al líder"
"GameHighlights_MobKill"	"Mata al bot"
"GameHighlights_MobMultiKill"	"Mata varios bots"
"GameHighlights_MultiKill"	"Asesinato múltiple"
"gameplay_blockpost_hint_1"	"Defiende al camión que está en movimiento."
"gameplay_blockpost_hint_2"	"No dejes que los puntos de control enemigos dañen el camión."
"gameplay_bombrun_hint_2"	"Destruye todos los obstáculos en tu camino."
"GAMEPLAY_Brawl_April1st"	"¿De dónde sacaste el vehículo, tío?"
"GAMEPLAY_Brawl_Football"	"Campeonato de Acero"
"GAMEPLAY_Brawl_Football_INFO"	"Fiebre de fútbol"
"GAMEPLAY_Brawl_football_OVERTIME"	"Prórroga"
"GAMEPLAY_Brawl_football_SCORE_1"	"@ff5baefa$param1$@ffffffff — @fff60400$param2$@ffffffff"
"GAMEPLAY_Brawl_football_SCORE_2"	"@fff60400$param1$@ffffffff — @ff5baefa$param2$@ffffffff"
"GAMEPLAY_Brawl_football_TIMER"	"El partido termina en:"
"GAMEPLAY_Brawl_MBP"	"Battle Royale"
"GAMEPLAY_Brawl_NewYear"	"Robando la Navidad"
"gameplay_commtowers_hint_1"	"Piratea las torres de comunicaciones con el equipo que has estado recopilando."
"gameplay_commtowers_hint_2"	"Muévete entre las torres y defiéndelas de los asaltantes."
"gameplay_domination_hint_2"	"¡Captura y controla dos de las tres bases para ganar antes!"
"GAMEPLAY_Domination_INFO"	"¡Controla dos de las tres bases!"
"gameplay_football_hint_1"	"¡Trabaja en equipo! Pasa la pelota a tus compañeros de equipo, si tienen mejores posibilidades de acertar en la red."
"gameplay_football_hint_2"	"Recuerda cubrir a tus compañeros de equipo mientras arrastran la pelota hasta la red. ¡Los oponentes siempre están cerca!"
"GAMEPLAY_FreePlay_Pvp_Name"	"Bedlam"
"gameplay_giantsiege_hint_1"	"Destruye las torres a tiempo para debilitar al Leviatán"
"gameplay_giantsiege_hint_2"	"Si el grupo causa el suficiente daño, ¡puedes derribar la torre!"
"gameplay_greatescape_hint_1"	"Roba el camión de los asaltantes."
"gameplay_greatescape_hint_2"	"Roba el cargamento de la base enemiga y escapa con el camión."
"gameplay_keepheist_hint_1"	"Atraviesa las defensas de los asaltantes."
"gameplay_keepheist_hint_2"	"Roba el importante cargamento y vence al líder enemigo."
"GAMEPLAY_MBP"	"Battle Royale"
"gameplay_mbp_hint_1"	"Las armas y módulos que se encuentran aquí son ligeramente diferentes a los que conoces."
"GAMEPLAY_MBP_INFO"	"¡El más inteligente se lo lleva todo!"
"gameplay_oilevac_hint_1"	"Activa la torre de perforación usando elementos de energía."
"gameplay_oilevac_hint_2"	"Transporta todo el combustible extraído al punto de evacuación."
"GAMEPLAY_Pve_Blockpost"	"¡Golpea y corre!"
"GAMEPLAY_Pve_Blockpost_desc"	"El conductor del camión está intentando salir de la zona de peligro y ha pedido ayuda. Pero no mencionó el hecho de que su vehículo se lo prestó un grupo de supervivientes. Ahora no solo tienes que alejarlo de la persecución sino también escapar del triple anillo de barricadas y campos de minas."
"GAMEPLAY_Pve_Blockpost_INFO"	"Ayuda al camión a atravesar los puestos de control"
"GAMEPLAY_Pve_Bombrun"	"El último convoy"
"GAMEPLAY_Pve_Bombrun_desc"	"El camión esta cargado hasta arriba con explosivos. Asegúrate de que llegue a su destino ¡y protégelo hasta la gran explosión! ¡No dejes que nada se interponga en tu camino!"
"GAMEPLAY_Pve_Bombrun_INFO"	"Protege el camión cargado con minas"
"GAMEPLAY_Pve_Commtowers"	"Robo de datos"
"GAMEPLAY_Pve_Commtowers_desc"	"Alguien ha vuelto a poner en marcha las torres abandonadas y las está usando para monitorizar las anomalías. Esto significa que incluso el control temporal sobre este lugar abrirá el velo de misterio que cubre Wasteland. Bueno, eso es lo que dice el cliente. Afortunadamente, esta vez podremos escuchar las conversaciones de radio de los enemigos."
"GAMEPLAY_Pve_Commtowers_INFO"	"Captura la torre de comunicación y recopila los datos"
"GAMEPLAY_Pve_Giantsiege"	"Cuna del acero"
"GAMEPLAY_Pve_Giantsiege_desc"	"Alguien ha comenzado a producir en masa los amenazantes Leviatanes. Su producción masiva amenaza con interrumpir la frágil paz establecida por los habitantes de Wasteland. ¡Date prisa en interrumpir los planes del enemigo antes de que terminen de construir el Leviatán!"
"GAMEPLAY_Pve_Giantsiege_INFO"	"No dejes que el enemigo logre terminar de construir el Leviatán"
"GAMEPLAY_Pve_Greatescape"	"Fuera en dos minutos"
"GAMEPLAY_Pve_Greatescape_desc"	"Este camión está justo pidiendo ser robado. Pero ¿por qué ir con las manos vacías? Vamos primero a llenarlo con cargamento y entregárselo al mejor postor. Cuidado con los defensores armados."
"GAMEPLAY_Pve_Greatescape_INFO"	"Carga el camión y escóltalo"
"GAMEPLAY_Pve_Keepheist"	"Brecha en el perímetro"
"GAMEPLAY_Pve_Keepheist_INFO"	"Atraviesa el perímetro defensivo y roba el cargamento"
"GAMEPLAY_Pve_Oilevac"	"La guerra por el fuego"
